Lab12
Stage 1 - Parallel 1 point
Worker 124, words count: 95
Worker 248, words count: 105
Worker 496, words count: 98
Worker 868, words count: 94
Worker 620, words count: 103
Worker 372, words count: 83
Worker 869, words count: 0
Worker 0, words count: 98
Worker 125, words count: 0
Worker 870, words count: 77
Worker 871, words count: 0
Worker 1, words count: 0
Worker 126, words count: 96
Worker 2, words count: 98
Worker 127, words count: 0
Worker 3, words count: 0
Worker 249, words count: 0
Worker 4, words count: 98
Worker 128, words count: 123
Worker 129, words count: 0
Worker 5, words count: 0
Worker 373, words count: 0
Worker 497, words count: 0
Worker 250, words count: 126
Worker 251, words count: 0
Worker 130, words count: 73
Worker 131, words count: 0
Worker 6, words count: 103
Worker 7, words count: 0
Worker 374, words count: 82
Worker 375, words count: 0
Worker 132, words count: 99
Worker 133, words count: 0
Worker 252, words count: 81
Worker 8, words count: 105
Worker 498, words count: 129
Worker 253, words count: 0
Worker 9, words count: 0
Worker 499, words count: 0
Worker 621, words count: 0
Worker 254, words count: 122
Worker 255, words count: 0
Worker 10, words count: 73
Worker 134, words count: 72
Worker 11, words count: 0
Worker 135, words count: 0
Worker 500, words count: 90
Worker 12, words count: 91
Worker 501, words count: 0
Worker 13, words count: 0
Worker 136, words count: 115
Worker 622, words count: 123
Worker 137, words count: 0
Worker 623, words count: 0
Worker 14, words count: 94
Worker 15, words count: 0
Worker 624, words count: 115
Worker 625, words count: 0
Worker 138, words count: 122
Worker 139, words count: 0
Worker 626, words count: 114
Worker 627, words count: 0
Worker 140, words count: 119
Worker 141, words count: 0
Worker 142, words count: 89
Worker 143, words count: 0
Worker 144, words count: 121
Worker 145, words count: 0
Worker 146, words count: 111
Worker 147, words count: 0
Worker 148, words count: 103
Worker 149, words count: 0
Worker 150, words count: 108
Worker 151, words count: 0
Worker 152, words count: 102
Worker 153, words count: 0
Worker 154, words count: 90
Worker 155, words count: 0
Worker 376, words count: 145
Worker 377, words count: 0
Worker 256, words count: 153
Worker 16, words count: 133
Worker 502, words count: 140
Worker 257, words count: 0
Worker 17, words count: 0
Worker 503, words count: 0
Worker 378, words count: 86
Worker 379, words count: 0
Worker 258, words count: 120
Worker 18, words count: 123
Worker 259, words count: 0
Worker 19, words count: 0
Worker 504, words count: 141
Worker 505, words count: 0
Worker 628, words count: 156
Worker 629, words count: 0
Worker 380, words count: 120
Worker 872, words count: 138
Worker 381, words count: 0
Worker 873, words count: 0
Worker 20, words count: 95
Worker 260, words count: 106
Worker 21, words count: 0
Worker 506, words count: 78
Worker 261, words count: 0
Worker 507, words count: 0
Worker 874, words count: 73
Worker 875, words count: 0
Worker 630, words count: 119
Worker 631, words count: 0
Worker 22, words count: 92
Worker 508, words count: 85
Worker 23, words count: 0
Worker 509, words count: 0
Worker 262, words count: 102
Worker 382, words count: 89
Worker 263, words count: 0
Worker 383, words count: 0
Worker 744, words count: 133
Worker 745, words count: 0
Worker 384, words count: 113
Worker 385, words count: 0
Worker 876, words count: 94
Worker 746, words count: 75
Worker 877, words count: 0
Worker 747, words count: 0
Worker 264, words count: 101
Worker 265, words count: 0
Worker 24, words count: 101
Worker 510, words count: 139
Worker 25, words count: 0
Worker 511, words count: 0
Worker 878, words count: 129
Worker 879, words count: 0
Worker 632, words count: 122
Worker 633, words count: 0
Worker 386, words count: 120
Worker 387, words count: 0
Worker 748, words count: 93
Worker 749, words count: 0
Worker 634, words count: 85
Worker 266, words count: 89
Worker 635, words count: 0
Worker 267, words count: 0
Worker 750, words count: 114
Worker 751, words count: 0
Worker 268, words count: 94
Worker 880, words count: 80
Worker 269, words count: 0
Worker 881, words count: 0
Worker 26, words count: 135
Worker 27, words count: 0
Worker 512, words count: 144
Worker 513, words count: 0
Worker 388, words count: 154
Worker 389, words count: 0
Worker 882, words count: 98
Worker 883, words count: 0
Worker 28, words count: 101
Worker 752, words count: 95
Worker 29, words count: 0
Worker 753, words count: 0
Worker 636, words count: 150
Worker 637, words count: 0
Worker 270, words count: 83
Worker 271, words count: 0
Worker 514, words count: 116
Worker 515, words count: 0
Worker 272, words count: 82
Worker 273, words count: 0
Worker 274, words count: 74
Worker 275, words count: 0
Worker 516, words count: 121
Worker 517, words count: 0
Worker 884, words count: 126
Worker 390, words count: 148
Worker 885, words count: 0
Worker 30, words count: 96
Worker 391, words count: 0
Worker 31, words count: 0
Worker 638, words count: 162
Worker 639, words count: 0
Worker 754, words count: 150
Worker 755, words count: 0
Worker 276, words count: 69
Worker 277, words count: 0
Worker 392, words count: 140
Worker 393, words count: 0
Worker 756, words count: 101
Worker 518, words count: 91
